Keyword,Subject,Theme,Static_Target,Source,Trap_Type,Priority
fiscal deficit,Economy,Fiscal Policy,FRBM Act 2003 & NK Singh Committee Targets,NCERT Macro,Definition Distortion,10
digital rupee,Economy,Banking,RBI liability vs Asset (Common trap),Economic Survey,Definition Distortion,10
governor,Polity,State Executive,Article 163 (Discretion) & Article 200 (Bills),Laxmikanth,Authority Confusion,10
basic structure,Polity,Constitution,Kesavananda 1973 not Golaknath,Laxmikanth,Chronology Confusion,10
joint sitting,Polity,Parliament,NOT available for Money Bills (Article 108),Laxmikanth,Procedure vs Power,9
vote on account,Polity,Budget,Article 116 vs Article 114 (Appropriation),Laxmikanth,Procedure vs Power,9
lithium,Geography,Resources,Mines Act (Critical vs Atomic minerals),PMF IAS,Current Affairs Overlay,10
pm surya ghar,Environment,Energy,1 crore by 2027 not 2025,Budget 2025,Current Affairs Overlay,10
green hydrogen,Environment,Energy,5 MMT by 2030 National Mission,Economic Survey,Current Affairs Overlay,9
net zero,Environment,Climate,2070 target announced COP26,PIB,Current Affairs Overlay,9
aif,Economy,Financial Markets,Hedge Funds YES | Bonds NO,SEBI Guidelines,Definition Distortion,9
article 356,Polity,Emergency,President proclaims Cabinet advises,Laxmikanth,Authority Confusion,9
delimitation,Polity,Elections,Article 82 & 84th Amendment (Freeze till 2026),Laxmikanth,Authority Confusion,8
repo rate,Economy,Monetary Policy,6.5% as of Dec 2024,RBI Website,Current Affairs Overlay,8
msp,Economy,Agriculture,23 crops not all crops,Budget 2025,Extreme Statement Trap,8
